Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,Troy,69.1477,196,68.1388,182,108.941,63,109.691,79,104.817,201,107.648,232,2.04272,137
2017,Tulane,71.1303,88,70.4099,64,97.8711,288,102.626,207,109.301,299,109.202,264,-6.57653,241
2017,Tulsa,67.8135,260,68.1937,180,99.0904,259,104.334,172,103.545,171,102.892,135,1.44187,144
2017,UAB,67.7379,262,66.0621,275,103.929,165,103.871,187,103.415,169,106.392,207,-2.52142,196
2017,"UC Davis",69.8652,154,68.867,125,97.892,285,97.8137,293,98.5394,53,102.223,115,-4.40962,218
2017,"UC Irvine",67.0136,286,66.4959,258,101.506,212,101.827,222,97.4826,41,99.9638,81,1.8633,139
2017,"UC Riverside",68.9647,209,67.8842,198,92.1141,342,92.2818,339,102.8,155,105.912,196,-13.6306,311
2017,"UC Santa Barbara",66.3465,302,64.0825,323,90.4772,346,91.335,343,107.177,250,109.176,262,-17.8414,331
2017,UCF,66.1584,309,66.0289,276,100.785,231,104.173,178,92.5151,7,93.2579,18,10.9147,68
2017,UCLA,74.1583,20,72.5835,20,121.09,1,124.05,2,102.328,144,100.419,85,23.6319,16
2017,"UMass Lowell",72.8256,38,71.7535,30,105.562,131,104.314,173,110.862,324,115.812,337,-11.4983,295
2017,UMBC,71.4406,76,71.035,52,109.608,54,107.894,108,106.863,244,110.862,297,-2.96868,201
2017,UMKC,73.8906,26,70.6748,58,101.453,215,103,198,106.885,246,107.421,225,-4.42074,219
2017,"UNC Asheville",68.7748,217,68.2997,174,108.453,76,107.375,119,98.774,57,102.529,122,4.84623,110
2017,"UNC Greensboro",67.8605,255,66.8857,240,107.559,88,107.719,113,103.787,179,104.531,173,3.18782,121
2017,"UNC Wilmington",70.078,138,70.3431,67,117.802,2,118.002,19,105.581,218,105.543,193,12.4591,59
2017,UNLV,70.4156,120,68.3674,169,96.3072,314,98.2932,286,105.664,220,105.304,187,-7.01113,248
2017,USC,70.091,136,68.7483,138,111.407,35,114.153,38,104.064,185,100.7,91,13.4535,53
